question,true_intent,predicted_intent,correct
Bagaimana informasi mengenai Program Studi Manajemen?,prodi_info,prodi_info,TRUE
Saya ingin mengetahui informasi tentang Program Studi Akuntansi Unimal.,prodi_info,prodi_info,TRUE
Dapatkah Anda menjelaskan profil Program Studi Ilmu Hukum?,prodi_info,prodi_info,TRUE
Apa informasi yang tersedia mengenai Program Studi Kedokteran?,prodi_info,fakultas_info,FALSE
Tolong tampilkan informasi mengenai Program Studi Agribisnis Universitas Malikussaleh.,prodi_info,kampus_program_studi,FALSE
Ceritakan tentang Program Studi Teknik Kimia di Unimal.,prodi_info,prodi_info,TRUE
Bagaimana cara mengakses email unimal Universitas Malikussaleh?,layanan_tik,kampus_kontak,FALSE
Saya tidak bisa login ke portal akademik.  harus bagaimana?,layanan_tik,layanan_tik,TRUE
Bagaimana cara melakukan reset password akun mahasiswa?,layanan_tik,layanan_tik,TRUE
Siapa yang harus dihubungi jika mengalami masalah pada akun email?,layanan_tik,layanan_tik,TRUE
Bagaimana cara mendapatkan akun email mahasiswa Unimal?,layanan_tik,kampus_kontak,FALSE
Dimana saya dapat menghubungi layanan TIK Universitas Malikussaleh?,layanan_tik,kampus_kontak,FALSE
Bagaimana prosedur pengajuan bantuan teknis untuk sistem email kampus?,layanan_tik,layanan_tik,TRUE
Saya lupa password email unimal.  bagaimana cara mengatasinya?,layanan_tik,layanan_tik,TRUE
Bagaimana cara menggunakan email kampus?,layanan_tik,layanan_tik,TRUE
Apakah tersedia layanan bantuan untuk masalah email mahasiswa?,layanan_tik,layanan_tik,TRUE
Dimana lokasi Universitas Malikussaleh?,kampus_lokasi,kampus_lokasi,TRUE
Universitas Malikussaleh berada di kota mana?,kampus_lokasi,kampus_lokasi,TRUE
Alamat Universitas Malikussaleh dimana?,kampus_lokasi,kampus_lokasi,TRUE
Dimana letak kampus utama Universitas Malikussaleh?,kampus_lokasi,kampus_lokasi,TRUE
Universitas Malikussaleh berada di daerah mana?,kampus_lokasi,kampus_lokasi,TRUE
Dimana lokasi Kampus Bukit Indah Universitas Malikussaleh?,kampus_lokasi,kampus_lokasi,TRUE
Dimana lokasi Kampus Reuleut Universitas Malikussaleh?,kampus_lokasi,kampus_lokasi,TRUE
Universitas Malikussaleh terletak di provinsi apa?,kampus_lokasi,kampus_lokasi,TRUE
Kampus Universitas Malikussaleh berada di Aceh bagian mana?,kampus_lokasi,kampus_lokasi,TRUE
Saya ingin mengetahui lokasi Universitas Malikussaleh.,kampus_lokasi,kampus_lokasi,TRUE
Bagaimana sejarah berdirinya Universitas Malikussaleh?,kampus_sejarah,kampus_sejarah,TRUE
Kapan Universitas Malikussaleh didirikan?,kampus_sejarah,kampus_sejarah,TRUE
Ceritakan sejarah Universitas Malikussaleh.,kampus_sejarah,kampus_sejarah,TRUE
Bagaimana awal mula berdirinya Unimal?,kampus_sejarah,kampus_sejarah,TRUE
Siapa pendiri Universitas Malikussaleh?,kampus_sejarah,pimpinan_info,FALSE
Mengapa universitas ini diberi nama Malikussaleh?,kampus_sejarah,kampus_fakultas,FALSE
Saya ingin tau sejarah unimal,kampus_sejarah,kampus_sejarah,TRUE
Bagaimana perkembangan Universitas Malikussaleh sejak didirikan?,kampus_sejarah,kampus_sejarah,TRUE
Kapan Universitas Malikussaleh berubah menjadi perguruan tinggi negeri?,kampus_sejarah,kampus_sejarah,TRUE
Saya ingin mengetahui sejarah Universitas Malikussaleh.,kampus_sejarah,kampus_sejarah,TRUE
Bagaimana jam kerja Universitas Malikussaleh?,kampus_jam_kerja,kampus_jam_kerja,TRUE
Jam operasional Universitas Malikussaleh mulai pukul berapa?,kampus_jam_kerja,kampus_jam_kerja,TRUE
Sampai jam berapa pelayanan di Universitas Malikussaleh?,kampus_jam_kerja,kampus_jam_kerja,TRUE
Kapan jam pelayanan administrasi di Unimal?,kampus_jam_kerja,kampus_jam_kerja,TRUE
Universitas Malikussaleh buka dari hari apa sampai hari apa?,kampus_jam_kerja,kampus_jam_kerja,TRUE
Apakah Universitas Malikussaleh buka pada hari Sabtu?,kampus_jam_kerja,kampus_jam_kerja,TRUE
Saya ingin mengetahui jam operasional Unimal.,kampus_jam_kerja,kampus_jam_kerja,TRUE
Berapa jam kerja pegawai di Universitas Malikussaleh?,kampus_jam_kerja,kampus_jam_kerja,TRUE
Kapan layanan kampus mulai beroperasi setiap hari?,kampus_jam_kerja,kampus_jam_kerja,TRUE
Tolong tampilkan informasi jam kerja Universitas Malikussaleh.,kampus_jam_kerja,kampus_jam_kerja,TRUE
Apa visi Universitas Malikussaleh?,kampus_visi_misi,kampus_visi_misi,TRUE
Apa misi Universitas Malikussaleh?,kampus_visi_misi,kampus_visi_misi,TRUE
Apa visi dan misi Universitas Malikussaleh?,kampus_visi_misi,kampus_visi_misi,TRUE
Saya ingin mengetahui visi Unimal.,kampus_visi_misi,kampus_visi_misi,TRUE
Tolong tampilkan misi Universitas Malikussaleh.,kampus_visi_misi,kampus_fakultas,FALSE
Apa tujuan Universitas Malikussaleh didirikan?,kampus_visi_misi,kampus_visi_misi,TRUE
Apa cita-cita atau arah pengembangan Universitas Malikussaleh?,kampus_visi_misi,kampus_visi_misi,TRUE
Bagaimana visi yang dimiliki oleh Universitas Malikussaleh?,kampus_visi_misi,kampus_visi_misi,TRUE
Dapatkah Anda menjelaskan visi dan misi Unimal?,kampus_visi_misi,kampus_visi_misi,TRUE
Saya ingin mengetahui tujuan dan misi Universitas Malikussaleh.,kampus_visi_misi,kampus_visi_misi,TRUE
